id,miou,mean_max_conf,dominant_class,group,selected
JPEGImages/2011_000953.jpg SegmentationClass/2011_000953.png,49.150089297725444,0.9517063498497009,0,majority,True
JPEGImages/2007_007165.jpg SegmentationClass/2007_007165.png,82.60592553937317,0.9229243993759155,0,majority,False
JPEGImages/2007_001587.jpg SegmentationClass/2007_001587.png,74.70727198156897,0.9980638027191162,0,majority,True
JPEGImages/2008_006219.jpg SegmentationClass/2008_006219.png,97.18283629483211,0.9948432445526123,0,majority,False
JPEGImages/2008_004396.jpg SegmentationClass/2008_004396.png,59.96546266646116,0.973069429397583,0,majority,False
JPEGImages/2008_003141.jpg SegmentationClass/2008_003141.png,86.15791280914608,0.9818611741065979,0,majority,True
JPEGImages/2007_009084.jpg SegmentationClass/2007_009084.png,60.525437688425065,0.9639580249786377,0,majority,False
JPEGImages/2007_006449.jpg SegmentationClass/2007_006449.png,52.777556502005694,0.9794809818267822,0,majority,True
JPEGImages/2011_002124.jpg SegmentationClass/2011_002124.png,59.42152007923806,0.9883003234863281,0,majority,True
JPEGImages/2010_003468.jpg SegmentationClass/2010_003468.png,95.95222079197909,0.9863426685333252,0,majority,False
JPEGImages/2007_005547.jpg SegmentationClass/2007_005547.png,78.5922061680715,0.9691229462623596,0,majority,False
JPEGImages/2010_005245.jpg SegmentationClass/2010_005245.png,84.060121681525,0.9951047301292419,0,majority,True
JPEGImages/2009_003904.jpg SegmentationClass/2009_003904.png,99.27474476597496,0.9947928190231323,0,majority,True
JPEGImages/2007_002119.jpg SegmentationClass/2007_002119.png,47.38898030925591,0.9823622703552246,0,majority,False
JPEGImages/2007_001884.jpg SegmentationClass/2007_001884.png,46.808422652183395,0.9827402830123901,0,majority,True
JPEGImages/2007_005857.jpg SegmentationClass/2007_005857.png,54.157108151071654,0.9796707630157471,0,majority,False
JPEGImages/2008_002942.jpg SegmentationClass/2008_002942.png,78.25089690759616,0.9645690321922302,15,majority,False
JPEGImages/2008_003709.jpg SegmentationClass/2008_003709.png,98.51354235103693,0.9955335855484009,0,majority,True
JPEGImages/2010_001752.jpg SegmentationClass/2010_001752.png,98.09434056807967,0.9812382459640503,0,majority,False
JPEGImages/2010_005705.jpg SegmentationClass/2010_005705.png,86.68034455976006,0.9909178018569946,0,majority,True
JPEGImages/2007_001677.jpg SegmentationClass/2007_001677.png,61.519363282917496,0.9582178592681885,0,majority,False
JPEGImages/2010_004120.jpg SegmentationClass/2010_004120.png,98.3081938439687,0.9922288656234741,0,majority,True
JPEGImages/2008_001821.jpg SegmentationClass/2008_001821.png,98.13564727421948,0.9953373074531555,0,majority,True
JPEGImages/2011_001292.jpg SegmentationClass/2011_001292.png,98.73472327225672,0.9950678944587708,0,majority,False
JPEGImages/2011_003103.jpg SegmentationClass/2011_003103.png,60.009124330168476,0.9710971117019653,0,majority,False
JPEGImages/2009_003849.jpg SegmentationClass/2009_003849.png,87.942443508019,0.9862491488456726,0,majority,True
JPEGImages/2008_003034.jpg SegmentationClass/2008_003034.png,80.07269078170509,0.9561469554901123,0,majority,False
JPEGImages/2009_004994.jpg SegmentationClass/2009_004994.png,96.582125434391,0.9566951990127563,0,majority,True
